1506,"#193: Twitter na radiu, radio na Twitterju",34,2012-01-25 19:00:00+01,6
1761,Aerogear – JBoss-ova orodjarna za mobilne aplikacije,13,2013-01-15 19:00:00+01,1
578,30 let x86 arhitekture,,2008-05-12 12:00:00+02,7
306,apprentice fan club,,2007-01-29 18:00:00+01,16
410,Pogled nad mesto,,2007-11-29 21:00:00+01,16
620,3. mednarodni multimedijski festival odprtih tehnologij HAIP 08,,2008-11-03 19:00:00+01,36
820,3. VIP večer: Podjetništvo je lahko uspešen družinski projekt,56,2010-01-14 19:00:00+01,14
763,40 let interneta,,2009-05-11 10:00:00+02,7
222,AnimeSeirei zabava,,2006-12-26 16:00:00+01,16
393,AnimeSlovenija,,2007-06-15 15:00:00+02,16
839,"Paule Ečimović - Vidiki in ravni virtualizacije: računalnikov, posameznikov",11,2010-02-18 19:00:00+01,5
1511,#194: Malverzacije na spletu,35,2012-02-01 19:00:00+01,6
605,Analiza predvolilnih političnih spletk,10,2008-10-07 19:00:00+02,1
837,4. VIP večer: Ivo Boscarol - nebo je njegova meja,67,2010-02-11 19:00:00+01,14
854,5. VIP: Odločna liderka z občutkom za kreativnost in ljudi,31,2010-03-11 19:00:00+01,14
323,"Arduino - Mikrokontroler za telebane, Luka Frelih",28,2007-03-13 19:00:00+01,1
428,aKademy 2007 ali Slovenec se odpravi na škotsko (Jure Repinc),12,2007-10-30 19:00:00+01,1
1553,Video za po poti,18,2012-03-20 19:00:00+01,1
1763,"#218: Radio, splet in prihodnost",28,2013-01-23 18:30:00+01,6
296,Anavrin: snemanje spota,,2007-01-24 08:00:00+01,16
295,Anavrin: snemanje spota,,2007-01-23 08:00:00+01,16
107,V.I.P. - Večeri za Inovativne in Podjetne: Erazem B. Pintar,,2006-11-23 19:00:00+01,14
870,"6. VIP: Simon Štrancar, mladi podjetnik, ki je prepričal Mirka Tuša",22,2010-04-08 19:00:00+02,14
729,6. VIP večer: Inovativnost in poročanje,19,2009-03-12 19:00:00+01,14
897,6. VIP večer: Slovenski start-up leta 2010,,2010-05-13 19:00:00+02,14
936,7k:nova oblika življenja,,2010-09-23 20:00:00+02,41
675,7. tradicionalna Novoletka Animeslovenije,,2008-12-19 19:12:00+01,16
736,Ali bo prehod internet omrežja na IPv6 enostaven?,20,2009-04-07 19:00:00+02,1
499,"Avtobiografija diskografija, konceptualni pop-art dogodek",,2008-02-18 21:00:00+01,5
754,7. VIP večer z Igorjem Akrapovičem,58,2009-04-09 19:00:00+02,14
771,8 let Kiberpipe in otvoritev 9. sezone,70,2009-10-01 20:00:00+02,33
702,A boy and his dog,23,2009-02-26 19:00:00+01,4
54,Abraham Lincoln (1930),0,2006-04-27 20:00:00+02,4
624,A Cable Plays,,2008-11-06 21:00:00+01,36
1779,Hvala za nevrone #12: Algoritmična umetnost,0,2013-04-25 19:00:00+02,41
591,AEGEE-Ljubljana: Kako od fotografiranja do znanja tujih jezikov?,16,2008-06-03 18:30:00+02,16
616,"Andraž Tori, Zemanta",19,2008-12-11 19:00:00+01,14
585,ArtNetLab: Video Match 08,30,2008-05-30 18:00:00+02,16
174,"Andrej Štanta: Virtual, otvoritev razstave virtualnih modelov",,2006-12-14 20:00:00+01,12
976,Android 'hackaton',,2010-11-02 19:00:00+01,1
1256,Android - odpade,0,2011-03-01 19:00:00+01,1
452,Anime novoletna zabava,,2007-12-21 20:00:00+01,16
172,Animeslovenija novoletna zabava,,2006-12-22 19:00:00+01,16
650,Anime žur,,2008-12-20 19:00:00+01,16
315,"Anže Veršnik: EvoIIution, otvoritev razstave digitalnih ilustracij in logotipov",,2007-03-15 20:00:00+01,12
154,Film: Taste of EUrope – Okus po Evropi,0,2006-11-13 19:00:00+01,4
623,A Small Contribution to The Genesis of Everyday Life,,2008-11-05 21:00:00+01,36
498,"Avtobiografija diskografija, konceptualni pop-art dogodek",,2008-02-11 21:00:00+01,5
682,"Barcamp, Co-working in prihodnost izmenjave znanj",153,2009-01-06 19:00:00+01,1
791,Baze primitivke,29,2009-11-03 19:00:00+01,1
468,Benjamin Mako Hill,27,2007-11-26 19:00:00+01,1
1398,Blender – 3D multipraktik,18,2011-05-31 19:00:00+02,1
96,CTD: Razdružene države Amerike/ Laibach Tour 2004 /Kiberpipa,0,2006-06-22 19:30:00+02,4
790,"Besede, imena, kazalo, ali: polavtomatsko indeksiranje za založništvo",12,2009-10-27 19:00:00+01,1
660,Best. Plone. Ever! Predstavitev Plone 3,7,2008-12-16 19:00:00+01,1
362,BEST v kinodvorani,,2007-04-06 18:00:00+02,16
930,BigDeal.si: skupinska kupna moč na spletu #wwwh 150,,2010-09-15 19:00:00+02,6
175,"Biokibernetika (ciklus predavanj): Avtomatska analiza medicinskih slik, prof. dr. Franjo Pernuš",,2007-01-08 19:00:00+01,17
178,Biokibernetika (ciklus predavanj): doc. Peter Gajšek: Elektromagnetna sevanja - okolje in zdravje,,2007-02-19 19:00:00+01,17
834,"Blender, prosto multimedijsko orodje",19,2010-02-16 19:00:00+01,1
131,"Bližnje srečanje 4. vrste - KDE4, Andrej Vernekar",0,2006-11-14 19:00:00+01,1
176,"Biokibernetika (ciklus predavanj): Elektroporacija , doc. dr. Tadej Kotnik",,2007-01-22 19:00:00+01,17
177,Biokibernetika (ciklus predavanj): prof.dr. Gregor Serša: Elektrokemoterapija tumorjev,10,2007-02-05 19:00:00+01,17
77,"Mendarodna pisarna, projekcija",0,2006-05-04 11:00:00+02,11
168,"Biokibernetika (ciklus predavanj): Robotski pristopi v nevrorehibilitaciji, prof. Tadej Bajd",,2006-12-18 19:00:00+01,17
167,"Biokibernetika (ciklus predavanj): Uvodno predavanje, prof. Damijan Miklavčič",,2006-12-04 19:00:00+01,17
649,Black Fist,14,2008-11-27 19:00:00+01,4
286,Brezplačna delavnica Openoffice.org (1. del),,2007-02-06 18:00:00+01,3
836,"Blagovne znamke v družbenih medijih - pravila igre in kako izgledajo v praksi, okrogla miza",54,2010-02-10 19:00:00+01,6
354,"Blogoramina Betkica (Gregor Fras, Katja Gajser, Jugoslav Petković)",,2007-04-25 19:00:00+02,6
301,"Boštjan Majcen: Spoofi, otvoritev razstave paraoglasov",70,2007-02-01 20:00:00+01,12
850,"Paule Ečimović: Vidiki in ravni virtualizacije - računalnikov, posameznikov, družb - 2. del",,2010-03-09 19:00:00+01,1
454,"Božični nakupi, okrogla miza - PRESTAVLJENO",,2007-11-28 19:00:00+01,6
472,Božični nakupi - spletno nakupovanje pri nas (okrogla miza),24,2007-12-05 19:00:00+01,6
453,Break2.4 - Potemkin Village: Deus ex Machina (Francisca Caporali),,2007-11-06 10:00:00+01,16
283,Brezplačna delavnica Openoffice.org (2. del),,2007-02-07 18:00:00+01,3
285,Brezplačna delavnica Openoffice.org (3. del),,2007-02-13 18:00:00+01,3
613,Close Your Browser - Finding Inspiration In The Offline World,,2008-10-29 19:00:00+01,6
284,Brezplačna delavnica Openoffice.org (4. del),,2007-02-14 18:00:00+01,3
312,Brezplačna delavnica Openoffice.org (5. del),,2007-02-20 18:00:00+01,3
313,Brezplačna delavnica Openoffice.org (6. del),,2007-02-21 18:00:00+01,3
795,BurnerOnFire,,2009-12-01 19:00:00+01,1
44,Orwell Rolls In His Grave (2003),0,2006-04-06 20:00:00+02,4
593,"CAFE BABE: Iskanje (Domen Grabec, Marko Štrukelj, Aleš Justin)",16,2008-06-19 19:00:00+02,17
1299,Čakajoč na revolucijo – okrogla miza o prihodnosti medijev ,0,2010-11-30 19:00:00+01,1
1338,Delavnica z uporabo tehnologije Sense/Stage,7,2011-02-26 11:00:00+01,43
932,"Hello, Android!",,2010-09-21 19:00:00+02,1
840,"Čas, Dedek in Vsega je kriva Nina",15,2010-02-25 19:00:00+01,4
153,Case Study: Debikartica - Parsek,0,2006-11-29 19:00:00+01,6
103,CTD: Baraka (1993) /Argentinski park,0,2006-06-27 21:30:00+02,4
329,Case study - WindowsVista.si - Predstavitev WPF/E tehnologije (Renderspace),,2007-03-28 19:00:00+02,6
1320,Cikel elektronika: optični pickup za bas kitaro,15,2011-01-06 19:00:00+01,44
494,Cikel UI: Analiza šahovskih prvakov (Matej Guid),19,2008-03-20 19:00:00+01,17
1905,#228: Spletni piškotki niso za vse,0,2013-05-08 19:15:00+02,6
1534,/ETC: SOLAR delavnica (2.del),8,2012-03-07 10:00:00+01,8
495,Cikel UI: Kako se naključnih števil lahko naučimo (doc. dr. Marko Robnik-Šikonja),13,2008-05-15 19:00:00+02,17
98,CTD: Beyond Treason (2005) /Argentinski park,0,2006-06-23 21:30:00+02,4
496,Cikel UI: Kje si? Kdo si? Kaj delaš? (dr. Borut Batagelj),40,2008-03-06 19:00:00+01,17
514,Cikel UI: Kognitivne predstavitve v računalniškem vidu (mag. Matjaz Jogan),6,2008-05-29 19:00:00+02,17
497,"Cikel UI: Naravno in strojno učenje, inteligenca in zavest (prof. dr. Igor Kononenko)",55,2008-04-17 19:00:00+02,17
600,Delavnica Google Apps (v okviru festivala LUPA 2008),,2008-09-26 13:17:00+02,16
344,Delavnica OpenOffice.org Calc,,2007-04-11 18:00:00+02,3
341,Delavnica OpenOffice.org Calc,,2007-03-04 18:00:00+01,3
515,Cikel UI: Računalniški šah in inteligenca (dr. Aleksander Sadikov),20,2008-04-03 19:00:00+02,17
97,CTD: 11'09''01 - 11. September (2002) /Kiberpipa,0,2006-06-23 10:30:00+02,4
378,Spletne urice odhajajo - zaključna zabava,,2007-05-30 19:00:00+02,6
99,CTD: Orwell Rolls In His Grave (2003) /Argentinski park,0,2006-06-25 21:30:00+02,4
342,Delavnica OpenOffice.org Calc,,2007-04-04 18:00:00+02,3
104,CTD: The Fourth World War (2003) /Kiberpipa,0,2006-06-28 19:30:00+02,4
101,CTD: The take (2004) /Argentinski park,0,2006-06-26 21:30:00+02,4
1537,/ETC: Strojna oprema: cel žur! (1.del),4,2012-03-08 10:00:00+01,8
102,CTD: Zaljubljeni Thomas (2000) /Kiberpipa,0,2006-06-27 10:30:00+02,4
390,Cyc ali kako zakodirati zdravo pamet? (Michael Witbrock),,2007-05-24 19:00:00+02,17
881,Damian Stewart: Luciolinae / serija open studio dogodkov,7,2010-06-11 19:00:00+02,5
878,Damian Stewart: Luciolinae / serija open studio dogodkov,4,2010-04-16 19:00:00+02,5
879,Damian Stewart: Luciolinae / serija open studio dogodkov,5,2010-05-07 19:00:00+02,5
880,Damian Stewart: Luciolinae / serija open studio dogodkov,9,2010-05-21 19:00:00+02,5
864,Damian Stewart: Luciolinae / uvodni open studio,8,2010-04-02 19:00:00+02,5
750,Danes ob 19h letnem vrtu Gajo,,2009-05-20 19:00:00+02,6
456,Danica Purg (IEDC),,2007-11-29 18:00:00+01,14
343,Delavnica OpenOffice.org Calc,,2007-04-09 18:00:00+02,3
403,Daniel Turing: Multi-Touch Table - A Touchable Remake of Pong.,26,2007-10-02 19:00:00+02,1
1538,/ETC: Strojna oprema: cel žur! (2.del),2,2012-03-09 10:00:00+01,8
1484,e-tilia,25,2011-12-07 08:00:00+01,16
396,Daniel Turing: Multi-Touch Table in otvoritev Kiberpipine programske sezone,,2007-10-01 20:00:00+02,17
670,"Daša Lakner: Oscilacije, živa instalacija",,2008-12-04 18:00:00+01,5
298,Spletne urice: Spletne aplikacije: Pogoste napake in njihove rešitve,,2007-01-10 19:00:00+01,6
1306,"DATAISNATURE: sistemi, procesi in emergentno računalništvo",32,2010-11-25 17:00:00+01,15
24,Deadline Iraq: Full Uncensored Stories of the War (2003),0,2006-03-30 20:00:00+02,4
4,"Delavnica OpenOffice.org I, Danijel Mihajlovič",0,2006-03-06 17:00:00+01,3
1310,Degustacija Firefoxa 4,58,2010-12-02 19:00:00+01,16
278,Euro26 delavnica digitalne zgodbe,,2007-01-16 09:00:00+01,16
280,Euro26 delavnica digitalne zgodbe,,2007-01-18 09:00:00+01,16
279,Euro26 delavnica digitalne zgodbe,,2007-01-17 09:00:00+01,16
477,Delavnica: Blog kot tok zavesti (Linus Nilsson),,2007-12-07 17:00:00+01,5
476,Delavnica: Blog kot tok zavesti (Linus Nilsson),,2007-12-06 17:00:00+01,5
611,FOWA report (različni predavatelji),18,2008-10-22 19:00:00+02,6
475,Delavnica: Blog kot tok zavesti (Linus Nilsson),,2007-12-05 17:00:00+01,5
462,Delavnica: Blog kot tok zavesti (Linus Nilsson),,2007-12-04 17:00:00+01,5
345,Delavnica CMS sistema Plone,,2007-04-16 18:00:00+02,3
348,Delavnica CMS sistema Plone,,2007-04-25 18:00:00+02,3
346,Delavnica CMS sistema Plone,,2007-04-18 18:00:00+02,3
347,Delavnica CMS sistema Plone,,2007-04-23 18:00:00+02,3
149,Delavnica EESTEC,0,2006-10-23 10:00:00+02,16
1432,Delavnica prostih podatkov // Open data hack day,10,2011-09-24 09:00:00+02,3
896,"Paule Ečimović: Vidiki in ravni virtualizacije: računalnikov, posameznikov, družb - 3. del",3,2010-05-20 19:00:00+02,5
60,"Delavnica Pure Data, Luka Prinčič",0,2006-05-28 11:00:00+02,3
1663,Kreativna šola: projektna asistenca,0,2013-01-24 09:00:00+01,16
1780,"Gost Nenad Senić, urednik",15,2013-04-04 19:00:00+02,49
59,"Delavnica Pure Data, Luka Prinčič",0,2006-05-27 11:00:00+02,3
562,Delavnica spajkanja,,2008-04-10 16:00:00+02,3
559,Delavnica spajkanja,,2008-04-07 16:00:00+02,3
560,Delavnica spajkanja,,2008-04-08 16:00:00+02,3
124,Mesto žensk v Kiberpipi: IMA SALON TV - Prenos dogodka IMA Salon,0,2006-10-06 17:00:00+02,16
563,Delavnica spajkanja,,2008-04-11 16:00:00+02,3
873,Delavnica STIKS,,2010-04-12 18:00:00+02,31
114,Delavnica uporabe programa WebJay,0,2006-09-30 11:00:00+02,13
370,"Delavnica ustvarjanja in izdelave spletnih strani: Nvu, Matjaž Horvat",,2007-05-09 18:00:00+02,3
314,"Delavnica ustvarjanja in izdelave spletnih strani: Nvu, Matjaž Horvat",,2007-03-29 19:00:00+02,3
316,Delavnica: Uvod v Linux,,2007-03-15 18:00:00+01,3
